id,how_big_meals,how_much_snacked,how_healthy,created_at,updated_at
33,2,1,1,"2019-12-23 22:03:25.379397","2019-12-23 22:03:25.379397"
34,2,2,2,"2019-12-27 01:05:45.032494","2019-12-27 01:05:45.032494"
35,2,2,2,"2019-12-27 01:19:26.430468","2019-12-27 01:19:26.430468"
36,1,1,1,"2019-12-27 01:29:40.133830","2019-12-27 01:29:40.133830"
37,0,0,0,"2019-12-27 01:29:49.070151","2019-12-27 01:29:49.070151"
38,0,0,0,"2019-12-27 01:30:00.283955","2019-12-27 01:30:00.283955"
39,2,2,2,"2019-12-29 14:10:39.404775","2019-12-29 14:10:39.404775"
40,2,2,2,"2019-12-29 14:45:33.723080","2019-12-29 14:45:33.723080"
41,2,2,2,"2019-12-29 15:51:50.174066","2019-12-29 15:51:50.174066"
42,2,2,2,"2019-12-31 14:06:13.355496","2019-12-31 14:06:13.355496"
43,2,2,2,"2020-01-01 16:19:27.392784","2020-01-01 16:19:27.392784"
44,2,2,2,"2020-01-05 01:33:22.225341","2020-01-05 01:33:22.225341"
45,2,2,2,"2020-01-06 04:42:49.123318","2020-01-06 04:42:49.123318"
46,2,2,2,"2020-01-06 23:50:11.474017","2020-01-06 23:50:11.474017"
47,2,2,2,"2020-01-07 02:52:49.477592","2020-01-07 02:52:49.477592"
48,2,2,2,"2020-01-07 16:15:04.356472","2020-01-07 16:15:04.356472"
49,2,2,2,"2020-01-07 18:10:27.792219","2020-01-07 18:10:27.792219"
50,2,2,2,"2020-01-07 19:13:27.920712","2020-01-07 19:13:27.920712"
51,2,2,2,"2020-01-07 20:25:05.665028","2020-01-07 20:25:05.665028"
52,2,2,2,"2020-01-07 23:17:27.101613","2020-01-07 23:17:27.101613"
53,2,2,2,"2020-01-08 01:57:42.822867","2020-01-08 01:57:42.822867"
54,2,2,2,"2020-01-16 00:24:04.409616","2020-01-16 00:24:04.409616"
55,1,0,1,"2020-01-16 00:24:27.648105","2020-01-16 00:24:27.648105"
56,0,0,0,"2020-01-16 00:24:38.112784","2020-01-16 00:24:38.112784"
57,0,0,0,"2020-01-16 00:24:54.159386","2020-01-16 00:24:54.159386"
58,2,2,2,"2020-01-16 00:47:27.985808","2020-01-16 00:47:27.985808"
59,0,0,0,"2020-01-16 00:47:47.817742","2020-01-16 00:47:47.817742"
60,0,0,0,"2020-01-16 00:47:58.211704","2020-01-16 00:47:58.211704"
61,2,2,2,"2020-01-16 19:19:01.356908","2020-01-16 19:19:01.356908"
62,0,0,0,"2020-01-16 19:19:15.907695","2020-01-16 19:19:15.907695"
63,0,0,0,"2020-01-16 19:19:24.799719","2020-01-16 19:19:24.799719"
64,2,2,2,"2020-01-16 19:24:32.100096","2020-01-16 19:24:32.100096"
65,0,0,0,"2020-01-16 19:24:42.693946","2020-01-16 19:24:42.693946"
66,0,0,0,"2020-01-16 19:24:51.855240","2020-01-16 19:24:51.855240"
67,2,2,2,"2020-01-16 19:27:45.587042","2020-01-16 19:27:45.587042"
68,0,0,0,"2020-01-16 19:27:57.462753","2020-01-16 19:27:57.462753"
69,0,0,0,"2020-01-16 19:28:06.239545","2020-01-16 19:28:06.239545"
